,,Creditos,Requisitos,Corequisitos,,,
CI0200, EXAMEN DIAGNOSTICO,0,,,,,
CI0202, INGLES BASICO,2,,,,,
MA0101, MATEMATICA GENERAL,2,,,,,
CI1403, COMUNICACION TECNICA,2,,,,,
MA1403, MATEMATICA DISCRETA,4,,,,,
SE1100, ACTIVIDAD CULTURAL I,0,,,,,
TI1100, TEORIA DE LAS ORGANIZACIONES Y SUS PROCESOS,3,,,,,
TI1101, INFORMACION CONTABLE I,3,,,,,
TI1400, INTRODUCCION A LA PROGRAMACION,3,,,,,
TI1401, TALLER DE PROGRAMACION,3,,TI1400,,,
FH1000, CENTROS DE FORMACION HUMANISTICA,0,,,,,
MA1404, CALCULO,4,,"MA0101,MA1403",,,
SE1200, ACTIVIDAD DEPORTIVA I,0,,,,,
TI2102, INFORMACION CONTABLE II,3,TI1101,,,,
TI2402, ALGORITMOS Y ESTRUCTURAS DE DATOS,4,"TI1400,TI1401",,,,
TI2403, ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS,4,TI1401,,,,
TI2800, ADMINISTRACION DE PROYECTOS I,3,TI1100,,,,
CI3400, INGLES 1 (ATI),2,"CI0200,CI0202",,,,
MA2405, ALGEBRA LINEAL PARA COMPUTACION,4,MA1404,,,,
SE1400, ACTIVIDAD CULTURAL-DEPORTIVA,0,,,,,
TI3103, COSTOS EN AMBIENTES INFORMATICOS,3,TI2102,,,,
TI3404, LENGUAJES DE PROGRAMACION,3,"TI2402,TI2403",,,,
TI3600, BASES DE DATOS,3,"MA1403,TI2402",,,,
TI3801, ADMINISTRACION DE PROYECTOS II,3,TI2800,,,,
CI4401, INGLES II (ATI),2,CI3400,,,,
MA2404, PROBABILIDADES,4,MA2405,,,,
TI4101, PLANIFICACION Y PRESUPUESTO,2,TI3103,,,,
TI4200, ECONOMIA,3,MA1404,,,,
TI4500, INGENIERIA DE REQUERIMIENTOS,3,"TI3600,TI3801",,,,
TI4601, BASES DE DATOS AVANZADOS,4,TI3600,,,,
CS3401, SEMINARIO DE ESTUDIOS FILOSOFICOS HISTORICOS,2,CI1403,,,,
MA3405, ESTADISTICA,4,MA2404,,,,
TI5100, GESTION Y TOMA DE DECISIONES FINANCIERAS,3,TI4200,,,,
TI5300, COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,2,"TI1100,TI3801",,,,
TI5501, DISEÑO DE SOFTWARE,3,"TI4500,TI4601",,,,
TI5701, INFRAESTRUCTURA TECNOLOGICA I,3,TI3404,,,,
CS4402, SEMINARIO DE ESTUDIOS COSTARRICENSES,2,CS3401,,,,
TI6101, MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,3,MA3405,,,,
TI6108," PRODUCCION, LOGISTICA Y CALIDAD",3,"MA3405,TI5100",,,,
TI6502, ESPECIFICACION DE SOFTWARE,3,TI5501,,,,
TI6702, INFRAESTRUCTURA TECNOLOGICA 2,3,TI5701,,,,
TI6900, INTELIGENCIA DE NEGOCIOS,3,"TI4500,TI4601",,,,
CS4404," LEGISLACION MERCANTIL,LABORAL Y TRIBUTARIA",3,TI5300,,,,
TI5000, ELECTIVA 1,3,,,,,
TI7102, GESTION DE RECURSOS HUMANOS,3,TI5300,,,,
TI7503, ARQUITECTURA DE APLICACIONES,3,"TI5501,TI6702",,,,
TI7802, MODELO DE TOMA DE DECISIONES,3,"MA2404,TI5100",,,,
TI7901, NEGOCIOS ELECTRONICOS,3,TI6900,,,,
TI8109, FORMULACION Y EVALUACION DE PROYECTOS DE TI,3,"TI6101,TI7802",,,,
TI8902, ADQUISICION DE TI,3,TI6702,,,,
TI8904, ADMINISTRACION DE PROCESOS DE NEGOCIOS,3,TI7503,,,,
TI8905, ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,3,"TI7503,TI7901",,,,
TI9003, COMPUTACION Y SOCIEDAD,2,"CS4402,TI7102",,,,
TI9805, AUDITORIA DE TI,3,TI7901,,,,
TI6000, ELECTIVA 2,3,,,,,
TI9004, ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION II,3,TI8905,,,,
TI9005, ESPIRITU EMPRENDEDOR Y CREACION DE EMPRESAS,3,TI8109,,,,
TI9006, CONSULTORIA DE TECNOLOGIA DE INFORMACION,3,TI9805,,,,
TI9804, PLANIFICACION Y ESTRATEGIAS DE TI,3,TI8902,,,,
TI9905, SISTEMAS DE INFORMACION EMPRESARIAL,3,TI8904,,,,
TI9000, TRABAJO FINAL DE GRADUACION,10,"CI1403,FH1000,SE1100,SE1200,SE1400,TI4101,TI5000,TI6000,TI6502,TI7102,TI9003,TI9004,TI9005,TI9006,TI9804,TI9805,TI9905",,,,
