1,Descripción del Curso,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/0,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/1,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/2,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/3,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/4,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/5,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/6,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/7,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/8,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/9
2,"TI8904 - ADMINISTRACION"""" DE PROCESOS DE NEGOCIOS",1,,,,,,,,,
2,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
3,MA3405 - ESTADISTICA,,,,1,,,,,,
3,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
4,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
4,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
5,MA2404 - PROBABILIDADES,,1,,,,,,,,
6,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,,1,,,,,,,,
7,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
8,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
9,IC6400 - INVESTIGACION DE OPERACIONES,1,,,,,,,,,
9,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,,1,,,,,,,
9,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
10,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
11,MA3405 - ESTADISTICA,1,,,,,,,,,
11,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
11,TI6900 - INTELIGENCIA DE NEGOCIOS,1,,,,,,,,,
11,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
12,MA2404 - PROBABILIDADES,,,,,1,,,,,
12,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
13,TI5501 - DISEÑO DE SOFTWARE,,1,,,,,,,,
13,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
13,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
13,TI6900 - INTELIGENCIA DE NEGOCIOS,1,,,,,,,,,
13,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
13,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
14,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,,,1,,,,,,,
15,TI5501 - DISEÑO DE SOFTWARE,,,,,1,,,,,
15,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
16,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,,,,1,,,,,
16,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",,1,,,,,,,,
16,TI7802 - MODELO DE TOMA DE DECISIONES,1,,,,,,,,,
17,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
18,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
19,MA1404 - CALCULO,,,1,,,,,,,
19,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
20,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
21,MA3405 - ESTADISTICA,,,,1,,,,,,
21,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
21,TI9805 - AUDITORIA DE TI,,1,,,,,,,,
22,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
23,CI4401 - INGLES II (ATI),1,,,,,,,,,
23,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
24,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
24,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
25,MA3405 - ESTADISTICA,,,1,,,,,,,
25,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
26,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
27,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
28,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
29,CI4401 - INGLES II (ATI),1,,,,,,,,,
29,IC6400 - INVESTIGACION DE OPERACIONES,1,,,,,,,,,
29,TI3600 - BASES DE DATOS,,,,,,,1,,,
29,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
29,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
29,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
30,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
30,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
30,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
31,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
32,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
33,MA3405 - ESTADISTICA,,,1,,,,,,,
33,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
34,MA2404 - PROBABILIDADES,,1,,,,,,,,
35,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
36,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
37,AE4130 - FORMULACION Y EVALUACION  PROYECTOS,1,,,,,,,,,
37,IC6400 - INVESTIGACION DE OPERACIONES,1,,,,,,,,,
37,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
38,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,,1,,,,,,,,
38,SE1205 - JUEGOS Y DEPORTES EN CONJUNTO,1,,,,,,,,,
38,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
38,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
39,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
40,AE3505 - METODOLOGIA DE LA INVESTIGACION,1,,,,,,,,,
40,TI9005 - ESPIRITU EMPRENDEDOR Y CREACION DE EMPRESAS,1,,,,,,,,,
41,IC6400 - INVESTIGACION DE OPERACIONES,1,,,,,,,,,
41,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
41,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
42,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
43,MA2404 - PROBABILIDADES,1,,,,,,,,,
43,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
43,TI6702 - INFRAESTRUCTURA TECNOLOGICA 2,1,,,,,,,,,
43,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
43,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
